seq,type,timestamp,loadId,originLatitude,originLongitude,destinationLatitude,destinationLongitude,equipmentType,price,mileage
339,Load,2023-11-18T10:51:35,10491,42.91,-77.3,41.85,-72.64,Van,900.0,309.0
340,Load,2023-11-18T10:51:46,10523,42.56,-71.58,38.91,-76.88,Reefer,900.0,430.0
341,Load,2023-11-18T10:51:47,40010,32.69,-96.83,39.28,-94.73,Van,650.0,515.0
342,Load,2023-11-18T10:51:47,10849,42.9682,-71.4509,29.2396,-81.0517,Van,2000.0,1279.0
343,Load,2023-11-18T10:51:50,40019,33.7798,-89.8107,30.5602,-91.954,Flatbed,700.0,337.0
344,Load,2023-11-18T10:51:52,10211,41.4944,-81.6856,37.7586,-77.472,Van,1100.0,450.0
345,Load,2023-11-18T10:51:53,10238,42.464,-73.3965,42.2212,-70.838,Flatbed,800.0,164.0
353,Load,2023-11-18T10:54:17,10717,39.4172,-76.7781,39.017,-84.5987,Reefer,1000.0,512.0
357,Load,2023-11-18T10:54:57,10320,41.9842,-86.3031,25.7812,-80.1911,Reefer,4000.0,1401.0
364,Load,2023-11-18T10:58:19,10760,40.1529,-76.6028,39.7345,-104.935,Reefer,2700.0,1596.0
365,Load,2023-11-18T10:58:21,10062,42.362,-71.0554,38.0239,-97.6698,Flatbed,2200.0,1618.0
366,Load,2023-11-18T10:58:42,10005,39.9626,-76.7278,42.0874,-71.4751,Van,1225.0,385.0
367,Load,2023-11-18T10:59:16,10021,39.914,-85.163,39.9392,-75.119,Van,1329.0,582.0
368,Load,2023-11-18T10:59:23,10102,36.6877,-79.8756,43.3128,-73.6488,Flatbed,1550.0,687.0
370,Load,2023-11-18T11:00:29,10991,41.2009,-80.4978,42.0414,-87.8878,Flatbed,950.0,443.0
371,Load,2023-11-18T11:02:43,40018,30.5782,-98.2728,31.9637,-95.272,Van,522.29,238.0
383,Load,2023-11-18T11:04:51,10027,39.5078,-76.1701,43.6319,-70.2621,Van,1392.7,472.0
387,Load,2023-11-18T11:05:49,10814,41.6395,-87.4707,41.9495,-87.8777,Flatbed,300.0,37.0
391,Load,2023-11-18T11:07:06,10650,40.822,-81.3836,40.5109,-75.603,Van,1000.0,388.0
392,Load,2023-11-18T11:07:34,10820,40.51,-74.3,39.0,-78.16,Van,800.0,270.0
393,Load,2023-11-18T11:07:35,10285,40.2015,-77.1889,35.4428,-84.593,Reefer,1150.0,579.0
399,Load,2023-11-18T11:09:11,10006,39.4585,-87.42,34.0634,-118.2491,Van,3200.0,2047.0
401,Load,2023-11-18T11:09:38,10691,39.12,-76.86,40.91,-74.15,Reefer,900.0,216.0
402,Load,2023-11-18T11:09:39,10067,40.0201,-76.1336,39.5995,-88.6078,Flatbed,1400.0,756.0
406,Load,2023-11-18T11:10:41,10633,41.5963,-87.3032,39.3459,-84.5605,Van,750.0,255.0
410,Load,2023-11-18T11:11:06,10647,38.3307,-80.6532,41.3935,-81.4441,Flatbed,950.0,307.0
411,Load,2023-11-18T11:11:06,10959,40.739,-85.1723,29.5572,-95.8086,Van,2300.0,1145.0
419,Load,2023-11-18T11:14:07,10119,42.3306,-83.0424,38.7462,-85.3804,Flatbed,1000.0,327.0
421,Load,2023-11-18T11:14:08,10251,39.8006,-76.983,32.5175,-92.158,Van,1800.0,1145.0
426,Load,2023-11-18T11:15:46,10350,40.1731,-77.3986,38.139,-78.1882,Van,475.0,173.0
428,Load,2023-11-18T11:15:59,10711,41.237,-80.8199,41.4789,-87.4548,Flatbed,1000.0,374.0
429,Load,2023-11-18T11:16:45,40022,29.9561,-90.0773,33.6821,-84.1488,Flatbed,1000.0,480.0
433,Load,2023-11-18T11:17:36,10355,42.0986,-75.9183,36.0725,-79.7921,Reefer,1000.0,574.0
436,Load,2023-11-18T11:17:53,10487,38.0512,-87.2759,33.6231,-84.3667,Reefer,1500.0,427.0
437,Load,2023-11-18T11:17:53,40023,47.3143,-116.5627,32.2614,-110.9771,Flatbed,3200.0,1528.0
452,Load,2023-11-18T11:20:58,10700,42.3104,-83.4476,36.0567,-86.6472,Flatbed,1500.0,538.0
456,Load,2023-11-18T11:22:14,10121,42.7875,-86.1089,28.5463,-81.3783,Van,2551.0,1162.0
468,Load,2023-11-18T11:24:14,10059,37.2706,-79.9417,40.4848,-78.0103,Flatbed,1050.0,284.0
469,Load,2023-11-18T11:24:26,10003,41.9573,-83.6597,41.6621,-87.7378,Van,500.0,250.0
470,Load,2023-11-18T11:24:27,10473,42.0318,-71.2192,42.4795,-73.769,Van,564.0,166.0
478,Load,2023-11-18T11:28:13,10194,40.4412,-84.9762,42.3489,-83.4671,Van,384.0,189.0
484,Load,2023-11-18T11:29:41,10225,40.6957,-80.0119,40.5679,-84.1963,Van,676.0,262.0
488,Load,2023-11-18T11:31:42,10465,40.7959,-74.3255,40.4405,-79.9961,Van,665.0,353.0
489,Load,2023-11-18T11:31:47,10586,39.3459,-84.5605,35.1595,-84.8766,Reefer,780.78,341.0
495,Load,2023-11-18T11:32:59,10147,38.8701,-84.6134,40.8115,-96.7166,Reefer,1400.0,746.0
496,Load,2023-11-18T11:33:07,10713,39.7446,-75.5462,42.5544,-71.3141,Flatbed,1045.0,340.0
500,Load,2023-11-18T11:35:05,10162,40.2601,-74.2738,38.956,-85.8895,Van,900.0,708.0
501,Load,2023-11-18T11:35:06,11057,42.1033,-86.4817,42.8794,-78.8775,Van,1200.0,479.0
502,Load,2023-11-18T11:35:06,10078,41.2331,-80.4934,40.0429,-86.8981,Flatbed,1050.0,403.0
505,Load,2023-11-18T11:35:14,10934,36.94,-84.09,36.87,-89.58,Van,700.0,371.0
506,Load,2023-11-18T11:35:42,40017,40.8031,-124.1596,33.3501,-111.8073,Flatbed,2600.0,1036.0
512,Load,2023-11-18T11:37:26,10616,40.6187,-80.6044,34.0116,-86.0108,Van,1550.0,727.0
513,Load,2023-11-18T11:37:28,10142,40.6026,-75.4655,37.5483,-77.4459,Van,700.0,304.0
520,Load,2023-11-18T11:39:40,10455,42.8794,-78.8775,40.2767,-81.586,Van,510.0,280.0
526,Load,2023-11-18T11:41:44,10351,43.2464,-78.1945,39.9536,-75.1684,Reefer,1200.0,339.0
528,Load,2023-11-18T11:41:54,11021,41.13,-84.84,35.66,-78.47,Reefer,2000.0,652.0
530,Load,2023-11-18T11:43:45,10434,42.9651,-85.6723,34.0236,-117.9603,Reefer,2991.0,2175.0
533,Load,2023-11-18T11:45:56,10008,41.16,-75.87,33.71,-84.63,Reefer,1600.0,834.0
536,Load,2023-11-18T11:46:39,10601,39.3951,-84.566,30.5463,-87.7516,Flatbed,1320.0,744.0
545,Load,2023-11-18T11:48:07,10399,40.6616,-74.3066,40.7222,-73.4243,Van,498.0,67.0
546,Load,2023-11-18T11:48:11,10630,40.0,-79.05,33.53,-84.64,Van,1500.0,704.0
547,Load,2023-11-18T11:48:19,10674,42.6748,-78.8742,41.2953,-89.0595,Van,950.0,591.0
548,Load,2023-11-18T11:48:19,10018,40.0115,-75.0149,39.9502,-77.6639,Flatbed,800.0,168.0
549,Load,2023-11-18T11:48:19,10435,40.5984,-76.0933,41.7761,-72.5213,Van,550.0,249.0
550,Load,2023-11-18T11:48:23,11053,38.9122,-78.1942,41.4509,-82.7062,Van,700.0,382.0
554,Load,2023-11-18T11:49:17,10668,44.1255,-75.6043,40.2142,-77.0091,Van,750.0,347.0
555,Load,2023-11-18T11:49:54,10539,37.8481,-85.4727,44.5119,-88.0121,Van,860.0,554.0
557,Load,2023-11-18T11:50:32,10768,40.7613,-73.8225,33.5699,-84.5887,Van,1600.0,925.0
564,Load,2023-11-18T11:52:39,10436,45.0614,-83.4319,44.9746,-93.268,Flatbed,1525.0,615.0
568,Load,2023-11-18T11:53:36,10386,41.7956,-86.0808,35.4701,-80.2578,Flatbed,1472.0,701.0
569,Load,2023-11-18T11:53:37,10178,38.9989,-84.6267,34.0634,-118.2491,Reefer,3000.0,2140.0
578,Load,2023-11-18T11:56:41,10048,40.3276,-80.5903,41.5757,-87.2,Flatbed,1000.0,420.0
580,Load,2023-11-18T11:56:43,10271,41.577,-73.4085,44.5119,-88.0121,Van,1250.0,1067.0
581,Load,2023-11-18T11:56:43,10336,41.137,-77.4469,40.86,-73.8712,Van,913.0,219.0
583,Load,2023-11-18T11:57:00,10063,43.41,-86.3487,40.8165,-79.522,Flatbed,1100.0,488.0
585,Load,2023-11-18T11:57:04,10010,40.4523,-85.373,41.8744,-87.6514,Van,490.0,199.0
586,Load,2023-11-18T11:57:06,10490,40.0506,-77.5203,39.7684,-86.1581,Flatbed,1050.0,545.0
590,Load,2023-11-18T11:57:36,40011,53.8419,-107.0342,41.5145,-87.8706,Flatbed,1650.0,1537.0
593,Load,2023-11-18T11:57:59,10637,39.5735,-84.3037,33.1023,-86.7531,Van,1100.0,527.0
604,Load,2023-11-18T11:59:59,10408,42.7893,-73.9809,41.7761,-72.5213,Van,497.0,129.0
608,Load,2023-11-18T12:01:16,10359,42.7925,-85.6546,45.6365,-122.6721,Van,1200.0,2286.0
611,Load,2023-11-18T12:02:03,10349,43.0795,-75.5393,39.9553,-84.1702,Reefer,1000.0,560.0
612,Load,2023-11-18T12:02:19,10193,39.8735,-83.0727,45.1219,-95.0433,Van,1268.0,817.0
613,Load,2023-11-18T12:03:00,10152,41.0037,-76.4549,36.8663,-87.4892,Van,1187.5,778.0
614,Load,2023-11-18T12:03:32,10549,39.9553,-84.1702,43.7019,-98.0292,Reefer,1850.0,932.0
617,Load,2023-11-18T12:04:02,10105,40.5109,-75.603,34.6989,-82.4771,Van,975.0,669.0
625,Load,2023-11-18T12:05:45,10560,41.8412,-85.6686,39.7904,-77.7278,Van,1325.0,525.0
630,Load,2023-11-18T12:08:08,10424,40.03,-85.74,41.3,-88.14,Reefer,550.0,202.0
631,Load,2023-11-18T12:08:28,10240,40.149,-79.5412,40.5368,-75.6313,Reefer,960.0,253.0
632,Load,2023-11-18T12:08:59,10253,42.5434,-71.6158,35.4801,-79.1807,Van,1000.0,755.0
633,Load,2023-11-18T12:09:14,10569,40.8645,-75.811,34.7047,-85.2819,Van,1170.0,749.0
635,Load,2023-11-18T12:09:52,10023,41.4298,-84.8714,33.8558,-84.2118,Flatbed,1500.0,666.0
636,Load,2023-11-18T12:09:53,10918,39.9795,-77.2228,40.483,-85.6161,Van,950.0,553.0
638,Load,2023-11-18T12:10:31,10472,41.7062,-86.5177,27.9613,-82.4493,Van,2600.0,1151.0
644,Load,2023-11-18T12:11:53,10422,40.5147,-74.3953,41.321,-75.7926,Van,478.0,112.0
649,Load,2023-11-18T12:13:16,10029,36.8663,-87.4892,41.4596,-88.2709,Van,575.0,364.0
651,Load,2023-11-18T12:14:26,10148,40.869,-74.1615,41.518,-95.4393,Van,1725.0,1195.0
662,Load,2023-11-18T12:20:12,10017,41.0974,-80.8539,41.9575,-87.9184,Flatbed,1000.0,430.0
667,Load,2023-11-18T12:20:55,10332,40.6262,-76.6208,41.5286,-71.9617,Flatbed,910.0,309.0
668,Load,2023-11-18T12:20:57,10740,41.6056,-73.9715,39.7042,-86.3994,Van,850.0,766.0
670,Load,2023-11-18T12:22:45,11058,43.2206,-76.815,39.0971,-84.5108,Reefer,991.0,553.0
671,Load,2023-11-18T12:23:55,10978,37.9295,-77.4561,43.0067,-74.3676,Van,945.0,479.0
672,Load,2023-11-18T12:23:55,10226,39.7625,-87.2292,35.3853,-94.4173,Flatbed,1045.0,613.0
673,Load,2023-11-18T12:23:55,10174,42.5373,-83.1101,40.8009,-85.8193,Van,451.0,243.0
674,Load,2023-11-18T12:23:56,10921,40.592,-84.9572,42.8808,-87.8832,Van,700.0,274.0
675,Load,2023-11-18T12:23:56,40014,47.4803,-94.8793,30.763,-98.223,Flatbed,1950.0,1361.0
676,Load,2023-11-18T12:23:56,10107,39.4106,-77.4166,37.7397,-121.4252,Reefer,3700.0,2756.0
677,Load,2023-11-18T12:23:56,10232,40.4593,-74.361,36.1224,-78.6861,Flatbed,700.0,448.0
679,Load,2023-11-18T12:24:24,10403,41.07,-85.0379,38.0489,-84.4998,Van,675.0,234.0
682,Load,2023-11-18T12:25:53,10513,39.9353,-75.0827,35.3888,-82.5666,Reefer,1250.0,618.0
684,Load,2023-11-18T12:27:15,10208,39.0937,-76.8559,41.9649,-71.1931,Reefer,1300.0,412.0
685,Load,2023-11-18T12:27:26,10942,43.9594,-86.4458,42.8808,-87.8832,Reefer,900.0,319.0
687,Load,2023-11-18T12:27:54,10305,40.02,-74.97,33.98,-118.11,Van,2800.0,2724.0
688,Load,2023-11-18T12:28:37,10046,38.0626,-81.8209,39.3951,-84.566,Flatbed,750.0,239.0
692,Load,2023-11-18T12:30:06,10938,41.0,-80.347,39.8296,-84.8877,Van,650.0,289.0
696,Load,2023-11-18T12:31:39,10026,40.1726,-80.2506,37.9323,-87.8951,Van,800.0,498.0
709,Load,2023-11-18T12:33:57,10321,40.7884,-74.1332,36.9303,-86.8875,Van,120.0,883.0
711,Load,2023-11-18T12:34:01,10118,39.5223,-85.7731,38.4453,-86.8044,Flatbed,500.0,146.0
712,Load,2023-11-18T12:34:03,10628,43.2582,-70.8654,32.8405,-83.6252,Van,1800.0,1199.0
714,Load,2023-11-18T12:35:13,10552,42.6633,-82.9944,42.3112,-83.2163,Van,200.0,32.0
716,Load,2023-11-18T12:36:34,10218,41.8037,-80.0565,40.2795,-86.5108,Van,941.0,419.0
717,Load,2023-11-18T12:36:39,10054,40.8043,-74.0121,42.1832,-71.2146,Flatbed,950.0,209.0
722,Load,2023-11-18T12:37:19,10043,39.4862,-75.0257,39.6136,-86.1061,Reefer,1100.0,686.0
723,Load,2023-11-18T12:37:29,10529,40.2454,-76.921,41.052,-83.6438,Van,650.0,410.0
727,Load,2023-11-18T12:38:19,10286,40.1701,-79.5981,40.3468,-74.4425,Van,800.0,322.0
728,Load,2023-11-18T12:38:22,10326,40.392,-79.8851,40.3468,-74.4425,Van,800.0,349.0
731,Load,2023-11-18T12:39:19,10221,39.9934,-81.7329,43.1153,-88.5016,Van,743.0,516.0
736,Load,2023-11-18T12:40:23,10188,43.1593,-76.3217,40.7358,-74.1743,Van,825.0,250.0
741,Load,2023-11-18T12:41:48,10241,37.976,-87.5497,40.6858,-76.1953,Van,1700.0,741.0
742,Load,2023-11-18T12:42:43,10666,39.6621,-75.5663,32.4844,-97.0052,Van,2330.35,1462.0
750,Load,2023-11-18T12:45:45,10682,37.6916,-85.8597,43.2123,-77.43,Reefer,2100.0,665.0
752,Load,2023-11-18T12:45:51,10504,40.7488,-73.9931,40.6794,-75.6168,Reefer,776.0,117.0
761,Load,2023-11-18T12:49:11,11005,40.1052,-83.2689,37.1808,-85.8939,Van,600.0,281.0
